_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,category,category:confidence,category_gold,id,screenname,text
662822308,false,finalized,3,2/18/2015 04:31:51,Information,1.0,,436528256238755840,Barclays,Barclays CEO stresses the importance of regulatory and cultural reform in financial services at Brussels conference  http://t.co/Ge9Lp7hpyG
662822309,false,finalized,3,2/18/2015 13:55:08,Information,1.0,,386013222203297792,Barclays,Barclays announces result of Rights Issue http://t.co/LbIqqh3wwG
662822310,false,finalized,3,2/18/2015 08:43:44,Information,1.0,,379579921326411776,Barclays,Barclays publishes its prospectus for its £5.8bn Rights Issue: http://t.co/YZk24iE8G6
662822311,false,finalized,3,2/18/2015 09:13:25,Information,1.0,,367530094623223808,Barclays,Barclays Group Finance Director Chris Lucas is to step down at the end of the week due to ill health http://t.co/nkuHoAfnSD
662822312,false,finalized,3,2/18/2015 06:48:18,Information,1.0,,360385210757550080,Barclays,Barclays announces that Irene McDermott Brown has been appointed as Group Human Resources Director http://t.co/c3fNGY6NMT
662822313,false,finalized,3,2/18/2015 08:51:10,Information,1.0,,347602002940948480,Barclays,Barclays response to PRA capital shortfall exercise: http://t.co/LwsUQVFaMz
662822314,false,finalized,3,2/18/2015 12:25:33,Information,1.0,,342315888311156736,Barclays,"Barclays sponsors #Zamynforum BBC World Service debate on globalisation, part of a series of citizenship lectures - http://t.co/5Mqcj0LIRg"
662822315,false,finalized,3,2/18/2015 09:39:43,Information,1.0,,327332016523710464,Barclays,"Barclays has today published its response to The Salz Review, the independent report into our business practices: http://t.co/QIrl6TuAtf"
662822316,false,finalized,3,2/18/2015 06:45:28,Action,0.6747,,297301642229989376,Barclays,Read statement on #Barclays CEO bonus award 2012: http://t.co/ALu82p51
662822409,false,finalized,3,2/18/2015 12:32:09,Action,1.0,,456830043373989888,barclayswealth,"59% of workers are either looking to change jobs or have applied, the highest figures recorded yet. More in our video http://t.co/JbZ2Sx8JLT"
662822411,false,finalized,3,2/18/2015 11:31:20,Action,1.0,,455753441500221440,barclayswealth,You no longer have one workforce. You have five. Want the employee benefits plan to match? Our video tells you how. http://t.co/Mxydes7LHG
662822412,false,finalized,3,2/18/2015 13:45:28,Information,1.0,,453490746369531904,barclayswealth,UK entrepreneurial activity in 2013 at a glance - Barclays and @BGF_team Entrepreneurs Index: http://t.co/8F6YStpAqS http://t.co/Uqg4l09RC9
662822413,false,finalized,3,2/18/2015 13:41:33,Action,1.0,,445584331357302784,barclayswealth,"Emma Turner, Head of Client Philanthropy provides a short insight into giving. Catch her latest blog here. #charity http://t.co/5YaLwoeoSm"
662822414,false,finalized,3,2/18/2015 13:35:26,Action,1.0,,440894166290403328,barclayswealth,...Visit us @NAPFnews 5-7 March for more workforce insights. #NAPF #pension http://t.co/eR9REnMww6 http://t.co/HCbfiJBJkB
662822415,false,finalized,3,2/18/2015 12:23:03,Information,1.0,,433993670132781056,barclayswealth,Will the chill in #emergingmarkets last a little longer as developed markets remain broadly positive? http://t.co/uiv1zY0eC0
