"word","in documents","total","in class (JobPostings)","in class (Tweets)"
"aa_false_finalized",1.0,1.0,0.0,1.0
"aaa_program_ensure",1.0,1.0,0.0,1.0
"aacr_look_clinical",1.0,2.0,0.0,2.0
"aahrpp_accreditation_affirming",1.0,2.0,0.0,2.0
"aahrpp_accreditation_raises",1.0,2.0,0.0,2.0
"aahrpp_pres_amp",1.0,2.0,0.0,2.0
"aampayuc_false_finalized",1.0,1.0,0.0,1.0
"aaron_gurwitz_dollar",1.0,1.0,0.0,1.0
"aaron_gurwitz_head",1.0,1.0,0.0,1.0
"aaron_gurwitz_http",1.0,1.0,0.0,1.0
"aaron_gurwitz_says",1.0,1.0,0.0,1.0
"aaron_gurwitz_urging",1.0,1.0,0.0,1.0
"aay_false_finalized",1.0,1.0,0.0,1.0
"aazdrovl_infographic_false",1.0,1.0,0.0,1.0
"ab_false_finalized",1.0,1.0,0.0,1.0
"abandoned_houses_see",1.0,2.0,0.0,2.0
"abbott_entered_agreement",1.0,1.0,0.0,1.0
"abetterny_hraadvisors_nytm",1.0,1.0,0.0,1.0
"ability_fight_infections",1.0,1.0,0.0,1.0
"ability_make_positive",1.0,1.0,0.0,1.0
"ability_relo_months",1.0,1.0,0.0,1.0
"able_contribute_good",1.0,1.0,0.0,1.0
"aboriginal_communities_australia",1.0,1.0,0.0,1.0
"absolute_return_funds",1.0,1.0,0.0,1.0
"absolutely_insane_happening",1.0,1.0,0.0,1.0
"abstracts_webges_com",1.0,1.0,0.0,1.0
"abt_common_sleep",1.0,1.0,0.0,1.0
"abt_links_food",1.0,1.0,0.0,1.0
"abtvz_kzyt_citigroup",1.0,1.0,0.0,1.0
"abuja_citi_http",1.0,1.0,0.0,1.0
"ac_edipqhz_progressmakers",1.0,2.0,0.0,2.0
"ac_osuehc_cc",1.0,1.0,0.0,1.0
"academia_collaboration_accelerating",1.0,1.0,0.0,1.0
"academia_collaboration_learn",1.0,1.0,0.0,1.0
"academia_collaboration_panel",1.0,1.0,0.0,1.0
"academic_biotechs_amp",1.0,3.0,0.0,3.0
"academic_performance_amp",1.0,1.0,0.0,1.0
"academics_entreprenuers_john",1.0,1.0,0.0,1.0
"academies_expand_project",1.0,2.0,0.0,2.0
"accelerate_adoption_amp",1.0,1.0,0.0,1.0
"accelerate_change_global",1.0,1.0,0.0,1.0
"accelerate_development_fresh",1.0,1.0,0.0,1.0
"accelerate_development_milk",1.0,1.0,0.0,1.0
"accelerate_investment_false",1.0,1.0,0.0,1.0
"accelerate_prostate_cancer",1.0,2.0,0.0,2.0
"accelerate_salt_reduction",1.0,2.0,0.0,2.0
"accelerate_sustainable_agricultural",1.0,1.0,0.0,1.0
"accelerated_access_pfizer",1.0,1.0,0.0,1.0
"accelerated_innovation_amp",1.0,1.0,0.0,1.0
"accelerates_research_diabetes",1.0,1.0,0.0,1.0
"accelerating_medical_science",1.0,1.0,0.0,1.0
"accelerator_create_ecosystems",1.0,1.0,0.0,1.0
"accelerator_program_foster",1.0,1.0,0.0,1.0
"accept_pay_offer",1.0,1.0,0.0,1.0
"accepted_caroline_roan",1.0,1.0,0.0,1.0
"accepted_june_check",1.0,1.0,0.0,1.0
"accepts_eliquis_nda",1.0,1.0,0.0,1.0
"accera_makes_medical",1.0,1.0,0.0,1.0
"accera_strategic_step",1.0,1.0,0.0,1.0
"access_basics_millions",1.0,1.0,0.0,1.0
"access_career_development",1.0,1.0,0.0,1.0
"access_children_lt",1.0,2.0,0.0,2.0
"access_clean_water",1.0,1.0,0.0,1.0
"access_employment_opportunities",1.0,1.0,0.0,1.0
"access_finance_mm",1.0,1.0,0.0,1.0
"access_health_brenda",1.0,1.0,0.0,1.0
"access_healthcare_learn",1.0,1.0,0.0,1.0
"access_healthy_food",1.0,2.0,0.0,2.0
"access_http_co",1.0,1.0,0.0,1.0
"access_info_finance",1.0,1.0,0.0,1.0
"access_jobs_danoneecosysteme",1.0,1.0,0.0,1.0
"access_medical_info",1.0,1.0,0.0,1.0
"access_mental_health",1.0,1.0,0.0,1.0
"access_pfizer_prevenar",1.0,1.0,0.0,1.0
"access_quality_healthcare",1.0,1.0,0.0,1.0
"access_responsible_borrowing",1.0,1.0,0.0,1.0
"access_treatment_affordable",1.0,1.0,0.0,1.0
"access_water_basic",1.0,2.0,0.0,2.0
"access_water_human",1.0,37.0,0.0,37.0
"access_work_based",1.0,1.0,0.0,1.0
"accessibles_aux_défavorisés",1.0,1.0,0.0,1.0
"accidents_requiring_sick",1.0,1.0,0.0,1.0
"accolades_securities_services",1.0,1.0,0.0,1.0
"accord_dispute_heavily",1.0,1.0,0.0,1.0
"accordance_gold_standard",1.0,2.0,0.0,2.0
"accordia_global_health",1.0,2.0,0.0,2.0
"accordia_infectious_diseases",1.0,1.0,0.0,1.0
"according_closely_watched",1.0,1.0,0.0,1.0
"according_effieawards_http",1.0,1.0,0.0,1.0
"according_learn_http",1.0,2.0,0.0,2.0
"according_pfizer_sponsored",1.0,1.0,0.0,1.0
"according_vaccines_help",1.0,2.0,0.0,2.0
"according_worldbank_report",1.0,1.0,0.0,1.0
"accordingly_nins_false",1.0,1.0,0.0,1.0
"accounted_grocery_sales",1.0,1.0,0.0,1.0
"accounts_brazil_population",1.0,1.0,0.0,1.0
"accreditation_affirming_pfe",1.0,2.0,0.0,2.0
"accreditation_raises_sets",1.0,2.0,0.0,2.0
"accreditation_read_dow",1.0,1.0,0.0,1.0
"accredited_qualification_volunteering",1.0,1.0,0.0,1.0
"accused_housing_discrimination",1.0,1.0,0.0,1.0
"accused_rebels_firin",1.0,1.0,0.0,1.0
"aceeedc_http_co",1.0,1.0,0.0,1.0
"achieve_greater_financialinclusion",1.0,1.0,0.0,1.0
"achieve_health_goals",1.0,2.0,0.0,2.0
"achieve_professional_goals",1.0,2.0,0.0,2.0
"achieve_sustainable_water",1.0,1.0,0.0,1.0
"achieved_fair_labor",1.0,1.0,0.0,1.0
"achieved_growth_emerging",1.0,1.0,0.0,1.0
"achievement_award_fasttrack",1.0,1.0,0.0,1.0
"achievement_gap_rt",1.0,1.0,0.0,1.0
"achievement_http_co",1.0,3.0,0.0,3.0
"achievement_ones_watch",1.0,1.0,0.0,1.0
"achievement_positions_make",1.0,2.0,0.0,2.0
"achievements_letsgetold_http",1.0,1.0,0.0,1.0
"acl_qb_false",1.0,1.0,0.0,1.0
"aclaración_retiro_voluntario",1.0,7.0,0.0,7.0
"acpusa_provide_mentoring",1.0,1.0,0.0,1.0
"acquire_aesthetic_dermatology",1.0,4.0,0.0,4.0
"acquire_ferrosan_consumer",1.0,1.0,0.0,1.0
"acquire_gut_microbiome",1.0,1.0,0.0,1.0
"acquire_ing_custody",1.0,1.0,0.0,1.0
"acquire_synbiotics_corporation",1.0,1.0,0.0,1.0
"acquires_ex_japan",1.0,1.0,0.0,1.0
"acquires_happyfamily_fastest",1.0,1.0,0.0,1.0
